EVENTTIME,OFFERID,ASIN,NOTIFICATIONID,SELLERID,ISBUYBOXWINNER,LISTINGPRICEAMOUNT,LISTINGPRICECURRENCYCODE,PRIMEINFORMATION_ISOFFERNATIONALPRIME,PRIMEINFORMATION_ISOFFERPRIME,SUBCONDITION
2024-05-17 09:51:39.077 Z,5,B0013Y4Q70,8eb94951-7b48-4942-9bd9-49cc56d6cfad,A2GSYIQWM0T181,false,53.33,USD,false,false,new
2024-05-17 09:51:39.077 Z,6,B0013Y4Q70,8eb94951-7b48-4942-9bd9-49cc56d6cfad,A2DF3HGBR01ATY,false,67.9,USD,false,false,new
2024-05-17 09:51:39.077 Z,7,B0013Y4Q70,8eb94951-7b48-4942-9bd9-49cc56d6cfad,A37RYXSF82P86Q,false,51.72,USD,false,false,new
2024-05-17 09:51:39.077 Z,8,B0013Y4Q70,8eb94951-7b48-4942-9bd9-49cc56d6cfad,A1ECJT9FQ4WMHJ,false,43.45,USD,false,false,new
2024-05-17 09:51:39.077 Z,9,B0013Y4Q70,8eb94951-7b48-4942-9bd9-49cc56d6cfad,APSAI9VUG3A9O,false,57.27,USD,false,false,new
2024-05-17 09:51:39.077 Z,10,B0013Y4Q70,8eb94951-7b48-4942-9bd9-49cc56d6cfad,A3A5024GKCOK6V,false,67.91,USD,false,false,new
2024-05-17 09:50:46.311 Z,1,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,AFF8XSNGT0QQC,true,20.85,USD,false,false,new
2024-05-17 09:50:46.311 Z,2,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,A2I0HOF5WGMLJC,true,20.87,USD,false,false,new
2024-05-17 09:50:46.311 Z,3,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,AFF8XSNGT0QQC,true,20.85,USD,false,false,new
2024-05-17 09:50:46.311 Z,4,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,A3A5024GKCOK6V,false,24.77,USD,false,false,new
2024-05-17 09:50:46.311 Z,5,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,A3RTD7C8IOA24E,false,22.11,USD,false,false,new
2024-05-17 09:50:46.311 Z,6,B004VHJHCU,1b0618a9-b21d-4679-a4f4-616bcdb13237,A39662AMV0ME4G,false,27.98,USD,false,false,new
